id,pressure,currentdate,currentime,device
5675,"92226.734375
","2019-05-04 15:05:56.156756",,/BSO-1
5676,"92233.226562
","2019-05-04 15:06:06.190849",,/BSO-1
5677,"92229.117188
","2019-05-04 15:06:16.201257",,/BSO-1
5678,"92226.062500
","2019-05-04 15:06:26.198561",,/BSO-1
5679,"92228.796875
","2019-05-04 15:06:36.215407",,/BSO-1
5680,"92229.500000
","2019-05-04 15:06:46.220084",,/BSO-1
5681,"92229.179688
","2019-05-04 15:06:56.220666",,/BSO-1
5682,"92230.546875
","2019-05-04 15:07:06.283344",,/BSO-1
5683,"92229.890625
","2019-05-04 15:07:16.281501",,/BSO-1
5684,"92231.257812
","2019-05-04 15:07:26.280406",,/BSO-1
5685,"92226.468750
","2019-05-04 15:07:36.289847",,/BSO-1
5686,"92225.140625
","2019-05-04 15:07:46.313795",,/BSO-1
5687,"92222.421875
","2019-05-04 15:07:56.330655",,/BSO-1
5688,"92223.437500
","2019-05-04 15:08:06.337803",,/BSO-1
5689,"92226.546875
","2019-05-04 15:08:16.349778",,/BSO-1
5690,"92225.859375
","2019-05-04 15:08:26.356056",,/BSO-1
5691,"92222.796875
","2019-05-04 15:08:46.378265",,/BSO-1
5692,"92224.859375
","2019-05-04 15:08:56.379765",,/BSO-1
5693,"92223.148438
","2019-05-04 15:09:06.404687",,/BSO-1
5694,"92225.546875
","2019-05-04 15:09:16.418251",,/BSO-1
5695,"92221.828125
","2019-05-04 15:09:26.417270",,/BSO-1
5696,"92220.859375
","2019-05-04 15:10:08.894704",,/BSO-1
5697,"92223.593750
","2019-05-04 15:10:18.896376",,/BSO-1
5698,"92220.507812
","2019-05-04 15:10:30.559335",,/BSO-1
5699,"92222.578125
","2019-05-04 15:10:46.042650",,/BSO-1
5700,"92225.671875
","2019-05-04 15:10:56.055180",,/BSO-1
5701,"92221.921875
","2019-05-04 15:11:06.076421",,/BSO-1
5702,"92220.906250
","2019-05-04 15:11:16.095992",,/BSO-1
5703,"92220.218750
","2019-05-04 15:11:26.090899",,/BSO-1
5704,"92226.750000
","2019-05-04 15:11:36.104018",,/BSO-1
5705,"92220.609375
","2019-05-04 15:11:46.123787",,/BSO-1
5706,"92216.859375
","2019-05-04 15:11:56.147038",,/BSO-1
5707,"92219.234375
","2019-05-04 15:12:06.189060",,/BSO-1
5708,"92220.265625
","2019-05-04 15:12:16.173833",,/BSO-1
5709,"92221.640625
","2019-05-04 15:12:26.174752",,/BSO-1
5710,"92218.250000
","2019-05-04 15:12:36.179383",,/BSO-1
5711,"92218.250000
","2019-05-04 15:12:46.192948",,/BSO-1
5712,"92218.593750
","2019-05-04 15:12:56.205225",,/BSO-1
5713,"92220.640625
","2019-05-04 15:13:06.236277",,/BSO-1
5714,"92223.703125
","2019-05-04 15:13:16.251592",,/BSO-1
5715,"92219.265625
","2019-05-04 15:13:26.252980",,/BSO-1
5716,"92214.835938
","2019-05-04 15:13:36.263030",,/BSO-1
5717,"92217.570312
","2019-05-04 15:13:46.275328",,/BSO-1
5718,"92214.515625
","2019-05-04 15:13:56.290292",,/BSO-1
5719,"92222.367188
","2019-05-04 15:14:06.315227",,/BSO-1
5720,"92221.000000
","2019-05-04 15:14:16.321484",,/BSO-1
5721,"92215.546875
","2019-05-04 15:14:26.331205",,/BSO-1
5722,"92218.953125
","2019-05-04 15:14:36.331652",,/BSO-1
5723,"92216.921875
","2019-05-04 15:14:46.331993",,/BSO-1
5724,"92220.664062
","2019-05-04 15:14:56.351561",,/BSO-1
5725,"92215.203125
","2019-05-04 15:15:06.372158",,/BSO-1
5726,"92217.281250
","2019-05-04 15:15:16.392622",,/BSO-1
5727,"92216.921875
","2019-05-04 15:15:26.402320",,/BSO-1
5728,"92220.015625
","2019-05-04 15:15:36.423321",,/BSO-1
5729,"92214.203125
","2019-05-04 15:15:46.434877",,/BSO-1
5730,"92216.593750
","2019-05-04 15:15:56.441464",,/BSO-1
5731,"92215.906250
","2019-05-04 15:16:06.461042",,/BSO-1
5732,"92219.328125
","2019-05-04 15:16:16.466592",,/BSO-1
5733,"92217.953125
","2019-05-04 15:16:26.478282",,/BSO-1
5734,"92217.968750
","2019-05-04 15:16:36.479434",,/BSO-1
5735,"92217.625000
","2019-05-04 15:16:46.490244",,/BSO-1
5736,"92213.179688
","2019-05-04 15:16:56.501815",,/BSO-1
5737,"92216.593750
","2019-05-04 15:17:06.517293",,/BSO-1
5738,"92211.125000
","2019-05-04 15:17:16.531540",,/BSO-1
5739,"92215.921875
","2019-05-04 15:17:26.555091",,/BSO-1
5740,"92213.867188
","2019-05-04 15:17:36.554262",,/BSO-1
5741,"92210.789062
","2019-05-04 15:17:46.557323",,/BSO-1
5742,"92216.609375
","2019-05-04 15:17:56.565419",,/BSO-1
5743,"92215.921875
","2019-05-04 15:18:06.566992",,/BSO-1
5744,"92212.859375
","2019-05-04 15:18:16.586856",,/BSO-1
5745,"92208.742188
","2019-05-04 15:18:26.590191",,/BSO-1
5746,"92214.218750
","2019-05-04 15:18:36.601903",,/BSO-1
5747,"92210.125000
","2019-05-04 15:18:46.615458",,/BSO-1
5748,"92211.484375
","2019-05-04 15:18:56.630873",,/BSO-1
5749,"92210.820312
","2019-05-04 15:19:06.633109",,/BSO-1
5750,"92203.640625
","2019-05-04 15:19:16.647693",,/BSO-1
5751,"92208.406250
","2019-05-04 15:19:26.652067",,/BSO-1
5752,"92209.781250
","2019-05-04 15:19:36.672500",,/BSO-1
5753,"92206.718750
","2019-05-04 15:19:46.685023",,/BSO-1
5754,"92207.062500
","2019-05-04 15:20:11.506401",,/BSO-1
5755,"92209.109375
","2019-05-04 15:20:21.510479",,/BSO-1
5756,"92203.976562
","2019-05-04 15:20:31.520605",,/BSO-1
5757,"92207.062500
","2019-05-04 15:20:41.522250",,/BSO-1
5758,"92201.593750
","2019-05-04 15:20:51.540614",,/BSO-1
5759,"92208.093750
","2019-05-04 15:21:01.561579",,/BSO-1
5760,"92210.500000
","2019-05-04 15:27:56.755456",,/BSO-1
5761,"92210.156250
","2019-05-04 15:28:06.771708",,/BSO-1
5762,"92211.859375
","2019-05-04 15:28:16.782317",,/BSO-1
5763,"92211.187500
","2019-05-04 15:28:26.802869",,/BSO-1
5764,"92207.765625
","2019-05-04 15:28:36.804267",,/BSO-1
5765,"92209.820312
","2019-05-04 15:28:46.813767",,/BSO-1
5766,"92207.781250
","2019-05-04 15:28:56.823496",,/BSO-1
5767,"92209.484375
","2019-05-04 15:29:06.842316",,/BSO-1
5768,"92206.421875
","2019-05-04 15:29:16.853643",,/BSO-1
5769,"92208.140625
","2019-05-04 15:29:26.915936",,/BSO-1
5770,"92210.882812
","2019-05-04 15:29:36.924912",,/BSO-1
5771,"92209.500000
","2019-05-04 15:29:46.947528",,/BSO-1
5772,"92207.796875
","2019-05-04 15:29:56.955475",,/BSO-1
5773,"92205.070312
","2019-05-04 15:30:06.975257",,/BSO-1
5774,"92205.062500
","2019-05-04 15:30:16.990468",,/BSO-1
5775,"92201.296875
","2019-05-04 15:30:27.019607",,/BSO-1
5776,"92203.343750
","2019-05-04 15:30:37.024940",,/BSO-1
5777,"92204.031250
","2019-05-04 15:30:47.037633",,/BSO-1
5778,"92206.093750
","2019-05-04 15:30:57.045731",,/BSO-1
5779,"92203.359375
","2019-05-04 15:31:07.048093",,/BSO-1
5780,"92202.656250
","2019-05-04 15:31:17.047096",,/BSO-1
5781,"92204.359375
","2019-05-04 15:31:27.058640",,/BSO-1
5782,"92201.625000
","2019-05-04 15:31:37.066336",,/BSO-1
5783,"92208.812500
","2019-05-04 15:31:47.077192",,/BSO-1
5784,"92203.335938
","2019-05-04 15:31:57.089530",,/BSO-1
5785,"92198.562500
","2019-05-04 15:32:07.112733",,/BSO-1
5786,"92202.320312
","2019-05-04 15:32:17.118217",,/BSO-1
5787,"92200.273438
","2019-05-04 15:32:27.144844",,/BSO-1
5788,"92199.593750
","2019-05-04 15:32:37.137700",,/BSO-1
5789,"92198.578125
","2019-05-04 15:32:47.157033",,/BSO-1
5790,"92203.007812
","2019-05-04 15:32:57.169508",,/BSO-1
5791,"92199.250000
","2019-05-04 15:33:07.178980",,/BSO-1
5792,"92194.109375
","2019-05-04 15:33:17.180850",,/BSO-1
5793,"92200.953125
","2019-05-04 15:33:27.189513",,/BSO-1
5794,"92199.921875
","2019-05-04 15:33:37.190181",,/BSO-1
5795,"92202.671875
","2019-05-04 15:33:47.189235",,/BSO-1
5796,"92203.687500
","2019-05-04 15:33:57.198673",,/BSO-1
5797,"92201.968750
","2019-05-04 15:34:07.218044",,/BSO-1
5798,"92204.726562
","2019-05-04 15:34:17.228580",,/BSO-1
5799,"92196.515625
","2019-05-04 15:34:27.245300",,/BSO-1
5800,"92198.546875
","2019-05-04 15:34:37.249527",,/BSO-1
5801,"92196.171875
","2019-05-04 15:34:47.267740",,/BSO-1
5802,"92200.265625
","2019-05-04 15:34:57.269988",,/BSO-1
5803,"92198.546875
","2019-05-04 15:35:07.306359",,/BSO-1
5804,"92199.250000
","2019-05-04 15:35:17.299235",,/BSO-1
5805,"92198.546875
","2019-05-04 15:35:27.315353",,/BSO-1
5806,"92193.750000
","2019-05-04 15:38:31.591462",,/BSO-1
5807,"92191.710938
","2019-05-04 15:38:41.605571",,/BSO-1
5808,"92190.335938
","2019-05-04 15:38:51.603550",,/BSO-1
5809,"92192.062500
","2019-05-04 15:39:01.603668",,/BSO-1
5810,"92187.593750
","2019-05-04 15:39:11.614625",,/BSO-1
5811,"92187.601562
","2019-05-04 15:39:21.625113",,/BSO-1
5812,"92190.328125
","2019-05-04 15:39:31.642270",,/BSO-1
5813,"92190.328125
","2019-05-04 15:39:41.653093",,/BSO-1
5814,"92191.710938
","2019-05-04 15:39:51.653889",,/BSO-1
5815,"92195.812500
","2019-05-04 15:40:01.688698",,/BSO-1
5816,"92192.398438
","2019-05-04 15:40:11.674776",,/BSO-1
5817,"92195.812500
","2019-05-04 15:40:21.676712",,/BSO-1
5818,"92186.570312
","2019-05-04 15:40:31.696308",,/BSO-1
5819,"92189.671875
","2019-05-04 15:40:41.705362",,/BSO-1
5820,"92189.656250
","2019-05-04 15:40:51.704811",,/BSO-1
5821,"92186.914062
","2019-05-04 15:41:01.713537",,/BSO-1
5822,"92189.656250
","2019-05-04 15:41:11.719058",,/BSO-1
5823,"92188.625000
","2019-05-04 15:41:21.714692",,/BSO-1
5824,"92185.546875
","2019-05-04 15:41:31.733100",,/BSO-1
5825,"92186.570312
","2019-05-04 15:41:41.756100",,/BSO-1
5826,"92190.000000
","2019-05-04 15:41:51.763395",,/BSO-1
5827,"92187.273438
","2019-05-04 15:42:01.764154",,/BSO-1
5828,"92186.921875
","2019-05-04 15:42:11.773838",,/BSO-1
5829,"92190.328125
","2019-05-04 15:42:21.783777",,/BSO-1
5830,"92187.937500
","2019-05-04 15:42:31.784628",,/BSO-1
5831,"92188.976562
","2019-05-04 15:42:41.794076",,/BSO-1
5832,"92184.179688
","2019-05-04 15:42:51.795020",,/BSO-1
5833,"92185.562500
","2019-05-04 15:43:01.816070",,/BSO-1
5834,"92184.515625
","2019-05-04 15:43:11.826785",,/BSO-1
5835,"92187.265625
","2019-05-04 15:43:21.834038",,/BSO-1
5836,"92181.101562
","2019-05-04 15:43:31.856462",,/BSO-1
5837,"92182.812500
","2019-05-04 15:43:41.863710",,/BSO-1
5838,"92186.593750
","2019-05-04 15:43:51.881367",,/BSO-1
5839,"92181.093750
","2019-05-04 15:44:01.896197",,/BSO-1
5840,"92180.421875
","2019-05-04 15:44:11.895135",,/BSO-1
5841,"92180.421875
","2019-05-04 15:44:21.904340",,/BSO-1
5842,"92180.421875
","2019-05-04 15:44:31.905631",,/BSO-1
5843,"92184.187500
","2019-05-04 15:44:41.914705",,/BSO-1
5844,"92180.406250
","2019-05-04 15:44:51.924321",,/BSO-1
5845,"92182.484375
","2019-05-04 15:45:01.934117",,/BSO-1
